subject,session,trial_type,f1,f2
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,23,23
def-1-16-08,1,cr,23,23
def-1-16-08,1,cr,54,54
def-1-16-08,1,cr,54,54
def-1-16-08,1,cr,14,14
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,18,18
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,13,13
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,18,18
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,78,78
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,87,87
def-1-16-08,1,cr,87,87
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,499,499
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,2617,2617
def-1-16-08,1,cr,1578,1578
def-1-16-08,1,cr,49,49
def-1-16-08,1,cr,49,49
def-1-16-08,1,cr,400,400
def-1-16-08,1,cr,19,19
def-1-16-08,1,cr,19,19
def-1-16-08,1,cr,7764,7764
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,3909,3909
def-1-16-08,1,cr,9,9
def-1-16-08,1,cr,9,9
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,1318,1318
def-1-16-08,1,cr,145,145
def-1-16-08,1,cr,14,14
def-1-16-08,1,cr,14,14
def-1-16-08,1,cr,176,176
def-1-16-08,1,cr,176,176
def-1-16-08,1,cr,18,18
def-1-16-08,1,cr,18,18
def-1-16-08,1,cr,18,18
def-1-16-08,1,cr,159,159
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,882,882
def-1-16-08,1,cr,192,192
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,991,991
def-1-16-08,1,cr,570,570
def-1-16-08,1,cr,570,570
def-1-16-08,1,cr,570,570
def-1-16-08,1,cr,19,19
def-1-16-08,1,cr,19,19
